Project Name,Package Name,Architecture Smell,Cause of the Smell
commons-io,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 6.0. All the dependencies among components: from: org.apache.commons.io.build to: org.apache.commons.io; from: org.apache.commons.io.build to: org.apache.commons.io.file; from: org.apache.commons.io.build to: org.apache.commons.io.input; from: org.apache.commons.io to: org.apache.commons.io.filefilter; from: org.apache.commons.io to: org.apache.commons.io.file; from: org.apache.commons.io to: org.apache.commons.io.function; from: org.apache.commons.io to: org.apache.commons.io.output; from: org.apache.commons.io to: org.apache.commons.io.input; from: org.apache.commons.io to: org.apache.commons.io.test; from: org.apache.commons.io to: org.apache.commons.io.file.attribute; from: org.apache.commons.io.comparator to: org.apache.commons.io; from: org.apache.commons.io.comparator to: org.apache.commons.io.test; from: org.apache.commons.io.file to: org.apache.commons.io.function; from: org.apache.commons.io.file to: org.apache.commons.io.filefilter; from: org.apache.commons.io.file to: org.apache.commons.io; from: org.apache.commons.io.file to: org.apache.commons.io.file.attribute; from: org.apache.commons.io.file to: org.apache.commons.io.input; from: org.apache.commons.io.file to: org.apache.commons.io.output; from: org.apache.commons.io.file to: org.apache.commons.io.test; from: org.apache.commons.io.filefilter to: org.apache.commons.io.function; from: org.apache.commons.io.filefilter to: org.apache.commons.io; from: org.apache.commons.io.filefilter to: org.apache.commons.io.file; from: org.apache.commons.io.filefilter to: org.apache.commons.io.test; from: org.apache.commons.io.function to: org.apache.commons.io; from: org.apache.commons.io.function to: org.apache.commons.io.file; from: org.apache.commons.io.input to: org.apache.commons.io; from: org.apache.commons.io.input to: org.apache.commons.io.function; from: org.apache.commons.io.input to: org.apache.commons.io.charset; from: org.apache.commons.io.input to: org.apache.commons.io.file.attribute; from: org.apache.commons.io.input to: org.apache.commons.io.file; from: org.apache.commons.io.input to: org.apache.commons.io.output; from: org.apache.commons.io.input to: org.apache.commons.io.test; from: org.apache.commons.io.input.buffer to: org.apache.commons.io; from: org.apache.commons.io.monitor to: org.apache.commons.io; from: org.apache.commons.io.monitor to: org.apache.commons.io.comparator; from: org.apache.commons.io.monitor to: org.apache.commons.io.file.attribute; from: org.apache.commons.io.monitor to: org.apache.commons.io.filefilter; from: org.apache.commons.io.monitor to: org.apache.commons.io.test; from: org.apache.commons.io.monitor to: org.apache.commons.io.file; from: org.apache.commons.io.output to: org.apache.commons.io; from: org.apache.commons.io.output to: org.apache.commons.io.input; from: org.apache.commons.io.output to: org.apache.commons.io.file; from: org.apache.commons.io.output to: org.apache.commons.io.function; from: org.apache.commons.io.output to: org.apache.commons.io.build; from: org.apache.commons.io.output to: org.apache.commons.io.charset; from: org.apache.commons.io.serialization to: org.apache.commons.io; from: org.apache.commons.io.input.compatibility to: org.apache.commons.io; from: org.apache.commons.io.jmh to: org.apache.commons.io; from: org.apache.commons.io.test to: org.apache.commons.io; from: org.apache.commons.io.test to: org.apache.commons.io.input; from: org.apache.commons.io.test to: org.apache.commons.io.output.
commons-io,org.apache.commons.io,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 95
commons-io,org.apache.commons.io,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.io.filefilter; org.apache.commons.io.file; org.apache.commons.io.output; org.apache.commons.io.input; org.apache.commons.io.test
commons-io,org.apache.commons.io,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.io; org.apache.commons.io.filefilter; org.apache.commons.io
commons-io,org.apache.commons.io,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.io; org.apache.commons.io.file; org.apache.commons.io
commons-io,org.apache.commons.io,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.io; org.apache.commons.io.function; org.apache.commons.io
commons-io,org.apache.commons.io,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.io; org.apache.commons.io.output; org.apache.commons.io
commons-io,org.apache.commons.io,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.io; org.apache.commons.io.input; org.apache.commons.io
commons-io,org.apache.commons.io,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.io; org.apache.commons.io.test; org.apache.commons.io
commons-io,org.apache.commons.io,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.io; org.apache.commons.io.output; org.apache.commons.io.build; org.apache.commons.io
commons-io,org.apache.commons.io.file,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 52
commons-io,org.apache.commons.io.file,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.io.filefilter; org.apache.commons.io.input; org.apache.commons.io.output
commons-io,org.apache.commons.io.file,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AccumulatorPathVisitor; Counters; CountingPathVisitor; DeletingPathVisitor; PathFilter; PathUtils; SimplePathVisitor; StandardDeleteOption; AccumulatorPathVisitorTest; CleaningPathVisitorTest; CopyDirectoryVisitorTest; CounterAssertions; CountersEqualsAndHashCodeTest; CountingPathVisitorTest; DeletablePath; DeletingPathVisitorTest; DirectoryStreamFilterTest; FilesUncheckTest; PathUtilsCleanDirectoryTest; PathUtilsContentEqualsTest; PathUtilsCountingTest; PathUtilsDeleteDirectoryTest; PathUtilsDeleteFileTest; PathUtilsDeleteTest; PathUtilsIsEmptyTest; PathUtilsTest; PathUtilsVisitorTest; PathWrapper; TempDirectory; TempDirectoryTest; TempFile; TempFileTest; TestArguments; CleaningPathVisitor; DeleteOption; CopyDirectoryVisitor; DirectoryStreamFilter; FilesUncheck; NoopPathVisitor; PathVisitor; AbstractTempDirTest; CountersTest]; [Counters.AbstractPathCounters]; [Counters.BigIntegerCounter]; [Counters.BigIntegerPathCounters]; [Counters.Counter]; [Counters.LongCounter]; [Counters.LongPathCounters]; [Counters.NoopCounter]; [Counters.NoopPathCounters]; [Counters.PathCounters]; [PathUtils.RelativeSortedPaths]. LCC (Lack of Component Cohesion) = 0.21
commons-io,org.apache.commons.io.filefilter,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 47
commons-io,org.apache.commons.io.function,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 62
commons-io,org.apache.commons.io.function,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.io; org.apache.commons.io.file
commons-io,org.apache.commons.io.input,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 154
commons-io,org.apache.commons.io.input,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractCharacterFilterReader; CharacterFilterReader; CharacterSetFilterReader; CharacterFilterReaderIntPredicateTest; CharacterFilterReaderTest; CharacterSetFilterReaderTest]; [AutoCloseInputStream; ClosedInputStream; CloseShieldInputStream; ProxyInputStream; SwappedDataInputStream; TaggedInputStream; TeeInputStream; UnsupportedOperationExceptions; WindowsLineEndingInputStream; AutoCloseInputStreamTest; ClosedInputStreamTest; CloseShieldInputStreamTest; MarkShieldInputStreamTest.MarkTestableInputStream; SwappedDataInputStreamTest; TaggedInputStreamTest; TeeInputStreamTest; UncheckedFilterInputStreamTest; WindowsLineEndingInputStreamTest; BOMInputStream; XmlStreamReader; XmlStreamReaderException; BOMInputStreamTest; XmlStreamReaderTest; XmlStreamReaderUtilitiesTest; XmlStreamReaderUtilitiesTest.MockXmlStreamReader; BrokenInputStream; BrokenInputStreamTest; ObservableInputStreamTest; CharSequenceInputStream; ReaderInputStream; CharSequenceInputStreamTest; CountingInputStreamTest; ReaderInputStreamTest; CountingInputStream; MarkShieldInputStream; MarkShieldInputStreamTest; MessageDigestCalculatingInputStream; ObservableInputStream; MessageDigestCalculatingInputStreamTest; TimestampedObserverTest; NullInputStream; NullInputStreamTest.TestNullInputStream; NullReader; NullReaderTest.TestNullReader; ProxyReaderTest.CustomNullReader; TimestampedObserver; UncheckedFilterInputStream; UnixLineEndingInputStream; UnixLineEndingInputStreamTest]; [AutoCloseInputStream.Builder]; [BOMInputStream.Builder]; [BoundedInputStream; BoundedInputStreamTest]; [BoundedReader; BoundedReaderTest]; [BrokenReader; BrokenReaderTest; UncheckedBufferedReaderTest; UncheckedFilterReaderTest; ClosedReader; CloseShieldReader; ProxyReader; TaggedReader; TeeReader; ClosedReaderTest; ProxyReaderTest.ProxyReaderImpl; TaggedReaderTest; UncheckedBufferedReader; UncheckedFilterReader; CharSequenceReader; CharSequenceReaderTest; CloseShieldReaderTest; TeeReaderTest]; [BufferedFileChannelInputStream; ByteBufferCleaner; MemoryMappedFileInputStream; BufferedFileChannelInputStreamTest; ByteBufferCleanerTest; MemoryMappedFileInputStreamTest; AbstractInputStreamTest; ReadAheadInputStream; ReadAheadInputStreamTest]; [BufferedFileChannelInputStream.Builder]; [ByteBufferCleaner.Cleaner]; [ByteBufferCleaner.Java8Cleaner]; [ByteBufferCleaner.Java9Cleaner]; [CharSequenceInputStream.Builder]; [CircularInputStream; InfiniteCircularInputStream; InfiniteCircularInputStreamTest]; [ClassLoaderObjectInputStream; ClassLoaderObjectInputStreamTest]; [DemuxInputStream]; [MemoryMappedFileInputStream.Builder]; [MessageDigestCalculatingInputStream.Builder]; [MessageDigestCalculatingInputStream.MessageDigestMaintainingObserver]; [ObservableInputStream.Observer]; [QueueInputStream; QueueInputStreamTest]; [QueueInputStream.Builder]; [RandomAccessFileInputStream; RandomAccessFileInputStreamTest]; [RandomAccessFileInputStream.Builder]; [ReadAheadInputStream.Builder]; [ReaderInputStream.Builder]; [ReversedLinesFileReader; ReversedLinesFileReaderTestParamBlockSize; ReversedLinesFileReaderTestParamFile; ReversedLinesFileReaderTestSimple]; [ReversedLinesFileReader.Builder]; [ReversedLinesFileReader.FilePart]; [SequenceReader; SequenceReaderTest]; [Tailer; TailerListener; TailerListenerAdapter; TailerTest; TailerTest.NonStandardTailable; TailerTest.TestTailerListener; Tailer.Builder]; [Tailer.RandomAccessFileBridge]; [Tailer.RandomAccessResourceBridge]; [Tailer.Tailable]; [Tailer.TailablePath]; [UncheckedBufferedReader.Builder]; [UncheckedFilterInputStream.Builder]; [UncheckedFilterReader.Builder]; [UnsynchronizedBufferedInputStream; UnsynchronizedFilterInputStream; UnsynchronizedBufferedInputStreamTest; UnsynchronizedFilterInputStreamTest]; [UnsynchronizedBufferedInputStream.Builder]; [UnsynchronizedByteArrayInputStream; UnsynchronizedByteArrayInputStreamTest]; [UnsynchronizedByteArrayInputStream.Builder]; [UnsynchronizedFilterInputStream.Builder]; [XmlStreamReader.Builder]; [BOMInputStreamTest.ExpectCloseInputStream]; [CircularInputStreamTest]; [ClassLoaderObjectInputStreamTest.E]; [ClassLoaderObjectInputStreamTest.Test]; [NullInputStreamTest]; [NullReaderTest]; [ObservableInputStreamTest.DataViewObserver]; [ObservableInputStreamTest.LengthObserver]; [ObservableInputStreamTest.MethodCountObserver]; [ProxyReaderTest]; [SequenceReaderTest.CustomReader]. LCC (Lack of Component Cohesion) = 0.36
commons-io,org.apache.commons.io.output,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 86
commons-io,org.apache.commons.io.output,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.io.input; org.apache.commons.io.build
commons-io,org.apache.commons.io.output,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractByteArrayOutputStream; ByteArrayOutputStream; DeferredFileOutputStream; DeferredFileOutputStream.Builder; LockableFileWriter; LockableFileWriter.Builder; ThresholdingOutputStream; UnsynchronizedByteArrayOutputStream; ByteArrayOutputStreamTest; ChunkedOutputStreamTest; ChunkedWriterTest; CloseShieldOutputStreamTest; DeferredFileOutputStreamTest; LockableFileWriterTest; ProxyOutputStreamTest; ProxyWriterTest; TaggedOutputStreamTest; TeeOutputStreamTest; ThresholdingOutputStreamTest; ChunkedOutputStream; ChunkedWriter; ClosedOutputStream; CloseShieldOutputStream; ProxyOutputStream; TaggedOutputStream; TeeOutputStream; ClosedOutputStreamTest; ClosedWriter; CloseShieldWriter; ProxyWriter; TaggedWriter; ClosedWriterTest; CloseShieldWriterTest; TaggedWriterTest; CountingOutputStream; CountingOutputStreamTest; FileWriterWithEncoding; FileWriterWithEncodingTest; NullOutputStream; NullPrintStream; NullOutputStreamTest; NullPrintStreamTest; NullWriter; NullWriterTest; StringBuilderWriter; StringBuilderWriterTest; BrokenWriter; BrokenWriterTest; ProxyCollectionWriterTest; TeeWriterTest; UncheckedAppendableTest; UncheckedFilterWriterTest; FilterCollectionWriter; ProxyCollectionWriter; TeeWriter; UncheckedAppendable; UncheckedAppendableImpl; UncheckedFilterWriter]; [AbstractByteArrayOutputStream.InputStreamConstructor]; [AppendableOutputStream; AppendableOutputStreamTest]; [AppendableWriter; AppendableWriterTest]; [BrokenOutputStream; BrokenOutputStreamTest; UncheckedFilterOutputStreamTest; UncheckedFilterOutputStream; WriterOutputStream; WriterOutputStreamTest]; [ChunkedOutputStream.Builder]; [DemuxOutputStream]; [FileWriterWithEncoding.Builder]; [NullAppendable; NullAppendableTest]; [QueueOutputStream; QueueOutputStreamTest]; [UncheckedFilterOutputStream.Builder]; [UncheckedFilterWriter.Builder]; [UnsynchronizedByteArrayOutputStream.Builder]; [WriterOutputStream.Builder]; [XmlStreamWriter; XmlStreamWriterTest]; [XmlStreamWriter.Builder]; [ByteArrayOutputStreamTest.BAOSFactory]; [ByteArrayOutputStreamTest.ByteArrayOutputStreamFactory]; [ByteArrayOutputStreamTest.UnsynchronizedByteArrayOutputStreamFactory]. LCC (Lack of Component Cohesion) = 0.22
commons-io,org.apache.commons.io.test,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.io.input; org.apache.commons.io.output
commons-io,org.apache.commons.io.test,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TestUtils]; [ThrowOnCloseInputStream]; [ThrowOnCloseOutputStream]; [ThrowOnCloseReader]; [ThrowOnCloseWriter]; [ThrowOnFlushAndCloseOutputStream]. LCC (Lack of Component Cohesion) = 1.0
